Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2019,1,1,0,0,16.2,0,0,0,0,6.800000000000001,0,0,0,0,0.223,53.660000000000004,119.97,0.04,1021,1.2000000000000002,32,3
2019,1,1,0,15,16.2,0,0,0,0,6.800000000000001,0,0,0,0,0.223,53.660000000000004,116.67,0.04,1021,1.2000000000000002,33,3
2019,1,1,0,30,16.2,0,0,0,0,6.800000000000001,0,0,0,0,0.222,53.660000000000004,113.38,0.04,1021,1.2000000000000002,33,3
2019,1,1,0,45,16.2,0,0,0,0,7.2,0,0,0,0,0.222,55.300000000000004,110.11,0.04,1021,1.3,33,3
2019,1,1,1,0,16.2,0,0,0,0,7.2,0,0,0,0,0.222,55.300000000000004,106.86,0.04,1021,1.3,33,3.1
2019,1,1,1,15,16.2,0,0,0,0,7.2,0,0,0,0,0.222,55.300000000000004,103.63,0.04,1021,1.3,34,3
2019,1,1,1,30,16.3,0,0,0,0,7.2,0,0,0,0,0.222,55,100.43,0.04,1022,1.3,36,3
2019,1,1,1,45,16.400000000000002,0,0,0,0,7.4,0,0,0,0,0.222,55.300000000000004,97.26,0.04,1022,1.4000000000000001,37,3
2019,1,1,2,0,16.400000000000002,0,0,0,0,7.4,0,0,0,0,0.222,55.300000000000004,94.12,0.04,1022,1.4000000000000001,38,2.9000000000000004
2019,1,1,2,15,16.900000000000002,0,0,0,0,7.4,0,0,0,0,0.222,53.58,91.01,0.04,1022,1.4000000000000001,38,2.9000000000000004
2019,1,1,2,30,17.3,9,22,9,0,7.4,9,22,0,9,0.222,52.24,87.67,0.04,1022,1.4000000000000001,39,2.8000000000000003
2019,1,1,2,45,17.8,28,77,35,0,7.4,28,77,0,35,0.222,50.730000000000004,84.77,0.04,1023,1.4000000000000001,39,2.8000000000000003
2019,1,1,3,0,18.2,51,142,71,0,7.5,51,142,0,71,0.222,49.480000000000004,81.84,0.04,1023,1.5,39,2.7
2019,1,1,3,15,18.7,73,207,113,0,7.5,73,207,0,113,0.222,47.96,78.94,0.04,1023,1.5,39,2.6
2019,1,1,3,30,19.1,93,267,157,0,7.5,93,267,0,157,0.222,46.78,76.10000000000001,0.04,1023,1.5,38,2.5
2019,1,1,3,45,19.6,111,320,203,0,6.9,111,320,0,203,0.222,43.57,73.31,0.04,1023,1.5,38,2.3000000000000003
2019,1,1,4,0,20,127,368,249,2,6.9,130,37,0,142,0.222,42.5,70.60000000000001,0.04,1023,1.5,38,2.2
2019,1,1,4,15,20.6,140,410,294,2,6.9,155,71,0,182,0.222,40.96,67.97,0.04,1023,1.5,35,2
2019,1,1,4,30,21.200000000000003,152,447,338,2,6.9,178,103,0,221,0.222,39.480000000000004,65.44,0.04,1023,1.5,32,1.8
